title,note,url,tags,comment,source_list,status
Los Mochis Notting Hill,,https://www.google.com/maps/place/Los+Mochis+Notting+Hill/data=!4m2!3m1!1s0x48760f5b2b3c6ff7:0xe74911fd4ec778c3,,,London,visited
Rooftop Cinema Club Peckham,,https://www.google.com/maps/place/Rooftop+Cinema+Club+Peckham/data=!4m2!3m1!1s0x487603a1a9981c29:0xfd3d218d62a85f9c,,,London,visited
The Ox,,https://www.google.com/maps/place/The+Ox/data=!4m2!3m1!1s0x487605c51a2b4b47:0x55f42d21b0297418,,,London,visited
Cafe Linea,,https://www.google.com/maps/place/Cafe+Linea/data=!4m2!3m1!1s0x4876057bf025c365:0x48df07ea798b8fd9,,,London,visited
Devonshire Arms Kensington,,https://www.google.com/maps/place/Devonshire+Arms+Kensington/data=!4m2!3m1!1s0x48760ff4614c42bb:0xfd7b1b6e6d8c4d95,,,London,visited
Wonton Charlie's,,https://www.google.com/maps/place/Wonton+Charlie's/data=!4m2!3m1!1s0x48761d32ff23b1ab:0x613f2aff5e885739,,,London,visited
Hagen Espresso Bar (Hagen Belgravia),,https://www.google.com/maps/place/Hagen+Espresso+Bar+(Hagen+Belgravia)/data=!4m2!3m1!1s0x487605314f1e5e1b:0x82a48a138ac51e97,,,London,visited
Cafe Kowloon,,https://www.google.com/maps/place/Cafe+Kowloon/data=!4m2!3m1!1s0x48761ddb88949213:0xac803f23d8f8cd3f,,,London,visited
Jolene Redchurch Street,,https://www.google.com/maps/place/Jolene+Redchurch+Street/data=!4m2!3m1!1s0x48761d5419f8081b:0x7fc417d07ef391c0,,,London,visited
The Knave of Clubs,Muy buen pub,https://www.google.com/maps/place/The+Knave+of+Clubs/data=!4m2!3m1!1s0x48761cb71267af4d:0xa10a333a3ad70129,,,London,visited
"Popin - Coffee, Deli & Groceries",Tiendita linda,"https://www.google.com/maps/place/Popin+-+Coffee,+Deli+%26+Groceries/data=!4m2!3m1!1s0x487605738469506d:0x5871f568abbef448",,,London,visited
Where's Fred's,,https://www.google.com/maps/place/Where's+Fred's/data=!4m2!3m1!1s0x487603d2e9efb5c5:0xf7c2e569bee5336a,,,London,visited
Hanbaagaasuuteeki,,https://www.google.com/maps/place/Hanbaagaasuuteeki/data=!4m2!3m1!1s0x487605003bfeea69:0x5f37f7246fd725a8,,,London,visited
WatchHouse Hanover,,https://www.google.com/maps/place/WatchHouse+Hanover/data=!4m2!3m1!1s0x4876055ecc798819:0x57110cdfb3505d6c,,,London,visited
Marjorie's,,https://www.google.com/maps/place/Marjorie's/data=!4m2!3m1!1s0x4876059b6037e591:0x14c911aa3dd64969,,,London,visited
Hidden Grooves,,https://www.google.com/maps/place/Hidden+Grooves/data=!4m2!3m1!1s0x48761d000ddcaa7d:0x7349c2c72dba0da4,,,London,visited
Lagana,,https://www.google.com/maps/place/Lagana/data=!4m2!3m1!1s0x48761d14904cb057:0x225c79e31ffaf0d8,,,London,visited
Taq,,https://www.google.com/maps/place/Taq/data=!4m2!3m1!1s0x487611005b50d56f:0x260b9c1412ffa4a,,,London,visited
A Bar with Shapes for a Name,,https://www.google.com/maps/place/A+Bar+with+Shapes+for+a+Name/data=!4m2!3m1!1s0x48761d62f3361eaf:0x4008bf508ccde14d,,,London,visited
Lucia's,,https://www.google.com/maps/place/Lucia's/data=!4m2!3m1!1s0x48761d002ec82b4d:0x81d6277e7d23c0bb,,,London,visited
CRATE Bar & Pizzeria Hackney Wick,,https://www.google.com/maps/place/CRATE+Bar+%26+Pizzeria+Hackney+Wick/data=!4m2!3m1!1s0x48761d6cc179a7cf:0xf10e028226dd377e,,,London,visited
The Two Brewers,,https://www.google.com/maps/place/The+Two+Brewers/data=!4m2!3m1!1s0x48767afb221e3157:0x5fe1ec3c489edee4,,,London,visited
It's Bagels Primrose Hill,,https://www.google.com/maps/place/It's+Bagels+Primrose+Hill/data=!4m2!3m1!1s0x48761b0d04dd3f67:0xfb4c147087661575,,,London,visited
MOTH Club,,https://www.google.com/maps/place/MOTH+Club/data=!4m2!3m1!1s0x48761ce4c41f26d3:0xc0d56d30ff53f675,,,London,visited
Ria's,,https://www.google.com/maps/place/Ria's/data=!4m2!3m1!1s0x487611c8842cff15:0xa6ab6703fef50896,,,London,visited
Aragon House,Pub con terraza increible,https://www.google.com/maps/place/Aragon+House/data=!4m2!3m1!1s0x48760fa276181f67:0x1dbc6ea20d2b78df,,,London,visited
Pappa Ciccia,Buena pizza para take away,https://www.google.com/maps/place/Pappa+Ciccia/data=!4m2!3m1!1s0x48760f9f0554af5b:0xb339d2676a155fa2,,,London,visited
The Princess Royal Pub & Boutique Hotel Notting Hill,,https://www.google.com/maps/place/The+Princess+Royal+Pub+%26+Boutique+Hotel+Notting+Hill/data=!4m2!3m1!1s0x487610021b5df5a1:0x5cf37bdb30b9451e,,,London,visited
AGORA souvla bar,,https://www.google.com/maps/place/AGORA+souvla+bar/data=!4m2!3m1!1s0x48760355467ce93b:0x1aeee3ddc86c07b5,,,London,visited
B Bagel,,https://www.google.com/maps/place/B+Bagel/data=!4m2!3m1!1s0x4876056364e36f0f:0x889aec2a11393685,,,London,visited
La Fromagerie,,https://www.google.com/maps/place/La+Fromagerie/data=!4m2!3m1!1s0x48761ad20372fc43:0x1757998f7724c280,,,London,visited
