Title,Note,URL,Tags,Comment
Tamales Madre,,https://www.google.com/maps/place/Tamales+Madre/data=!4m2!3m1!1s0x85d1ff2f7a492681:0xd1537e11a4c4d209,,
"Versalles 19 Restaurante mariscos, carnes y buenos tragos",,"https://www.google.com/maps/place/Versalles+19+Restaurante+mariscos,+carnes+y+buenos+tragos/data=!4m2!3m1!1s0x85d1ff4e3d2614dd:0xe8c432aa3813d8fe",,
Lotti,,https://www.google.com/maps/place/Lotti/data=!4m2!3m1!1s0x85d1ff7746426d15:0x1bc86fc2aa214fc4,,
Mantequilla Social Club,,https://www.google.com/maps/place/Mantequilla+Social+Club/data=!4m2!3m1!1s0x85d201f7e54e1a5d:0x9370300a8decbd7d,,
De Potato Club,,https://www.google.com/maps/place/De+Potato+Club/data=!4m2!3m1!1s0x85d1ff007b0e5067:0x610e21c7ba75f44e,,
Museo Kaluz,,https://www.google.com/maps/place/Museo+Kaluz/data=!4m2!3m1!1s0x85d1f904221ee17d:0xf206033e1002e2cd,,
Shhh,,https://www.google.com/maps/place/Shhh/data=!4m2!3m1!1s0x85d1ff0037dc8d61:0x240f105564e4ca01,,
Mitemaki Hand Roll Bar,,https://www.google.com/maps/place/Mitemaki+Hand+Roll+Bar/data=!4m2!3m1!1s0x85d20146beae8d6f:0xdcbcae3fcc6222f5,,
BUNA Condesa,,https://www.google.com/maps/place/BUNA+Condesa/data=!4m2!3m1!1s0x85d1ff7b1fafa017:0x4b2d48fd0d76bf53,,
Bar nino,Arturito. Restaurante misterioso dice italiano y antes de llaaba restaurante sin nombre,https://www.google.com/maps/place/Bar+nino/data=!4m2!3m1!1s0x85d1ff0031ba3285:0x9c6a3703b7065612,,
Cafe Trucha,,https://www.google.com/maps/place/Cafe+Trucha/data=!4m2!3m1!1s0x85d1ff71ce710fe1:0xea97f7be6558d122,,
Mi Compa Chava Marisquería,,https://www.google.com/maps/place/Mi+Compa+Chava+Marisquer%C3%ADa/data=!4m2!3m1!1s0x85d1ff976e20f4d1:0x2087fc553413be6a,,
Estiatorio Nostos (Lomas),,https://www.google.com/maps/place/Estiatorio+Nostos+(Lomas)/data=!4m2!3m1!1s0x85d201693184fdc7:0xe246526b8f345c50,,
Taller de ostiones by fism,,https://www.google.com/maps/place/Taller+de+ostiones+by+fism/data=!4m2!3m1!1s0x85d1ffc056890ae7:0xf5c6111f03160482,,
Bartola,,https://www.google.com/maps/place/Bartola/data=!4m2!3m1!1s0x85d1ff00036d6d9d:0x668be880fa6292b4,,
Gala Panadería,,https://www.google.com/maps/place/Gala+Panader%C3%ADa/data=!4m2!3m1!1s0x85d1ff0011c6e72f:0xe94a7c14204e8842,,
Green Rhino,,https://www.google.com/maps/place/Green+Rhino/data=!4m2!3m1!1s0x85d1ff7f8345adcf:0x74bdf3c027679e91,,
El Compita | Birria de res,Topjaw,https://www.google.com/maps/place/El+Compita+%7C+Birria+de+res/data=!4m2!3m1!1s0x85d1ffb8c6f3e883:0xfc664f2511f7f8ec,,
LORENZO,Dicen que bueno para drinks,https://www.google.com/maps/place/LORENZO/data=!4m2!3m1!1s0x85d1ff5b6874a129:0x8ac4dbfe2d42485d,,
oly.,Tacotios,https://www.google.com/maps/place/oly./data=!4m2!3m1!1s0x85d1ffe147ce5801:0x317a07faefc1b6f9,,
Tienda de Cerveza Hércules,Topjaw,https://www.google.com/maps/place/Tienda+de+Cerveza+H%C3%A9rcules/data=!4m2!3m1!1s0x85d1ff0071223629:0x34643639a4d6d64a,,
